Title,Latitude,Longitude,County,Visited,Date,HeritageGroup,Link,Note
Windermere and Footprint,54.389002,-2.911795,Cumbria,no,,National Trust,https://www.nationaltrust.org.uk/visit/lake-district/windermere-and-footprint,
Wordsworth House and Garden,54.663601,-3.36678,Cumbria,no,,National Trust,https://www.nationaltrust.org.uk/visit/lake-district/wordsworth-house-and-garden,
Wray,54.400611,-2.964237,Cumbria,no,,National Trust,https://www.nationaltrust.org.uk/visit/lake-district/wray,
Graig Fawr,53.308753,-3.408942,Denbighshire,no,,National Trust,https://www.nationaltrust.org.uk/visit/wales/graig-fawr,
Calke Abbey,52.808253,-1.472834,Derbyshire,no,,National Trust,https://www.nationaltrust.org.uk/visit/peak-district-derbyshire/calke-abbey,
Duffield Castle,52.9925,-1.4892,Derbyshire,no,,National Trust,https://www.nationaltrust.org.uk/visit/peak-district-derbyshire/duffield-castle,
Foremark,52.8209,-1.5062,Derbyshire,no,,National Trust,https://www.nationaltrust.org.uk/visit/peak-district-derbyshire/foremark,
Hardwick,53.167801,-1.30813,Derbyshire,no,,National Trust,https://www.nationaltrust.org.uk/visit/peak-district-derbyshire/hardwick,
Hardwick Estate: Stainsby Mill,53.183275,-1.31952,Derbyshire,no,,National Trust,https://www.nationaltrust.org.uk/visit/peak-district-derbyshire/hardwick-estate-stainsby-mill,
Kedleston Hall,52.9585,-1.53348,Derbyshire,no,,National Trust,https://www.nationaltrust.org.uk/visit/peak-district-derbyshire/kedleston-hall,
"Kinder, Edale and the High Peak",53.3458,-1.8156,Derbyshire,no,,National Trust,https://www.nationaltrust.org.uk/visit/peak-district-derbyshire/kinder-edale-and-the-high-peak,
"Longshaw, Burbage and the Eastern Moors",53.316263,-1.600686,Derbyshire,no,,National Trust,https://www.nationaltrust.org.uk/visit/peak-district-derbyshire/longshaw-burbage-and-the-eastern-moors,
Staunton Harold,52.81089,-1.43062,Derbyshire,no,,National Trust,https://www.nationaltrust.org.uk/visit/peak-district-derbyshire/staunton-harold,
